chr1,10269188,10270187,snp_rs77659689
chr1,10269243,10270242,snp_rs78535522
chr1,10269664,10270663,snp_rs116787047
chr1,10269891,10270890,snp_rs183620260
chr1,10269902,10270901,snp_rs116570550
chr1,10269927,10270926,snp_rs559622355
chr1,10271675,10272674,snp_rs116168538
chr1,10439299,10440298,snp_rs41310365
chr1,10446544,10447543,snp_rs536573673
chr1,10458902,10459901,snp_rs563200923
chr1,10549128,10550127,snp_rs585870
chr1,10567777,10568776,snp_rs2506880
chr1,10568758,10569757,snp_rs2480785
chr1,10616005,10617004,snp_rs17035305
chr1,150629901,150630900,snp_rs12031458
chr1,150637453,150638452,snp_rs4970970
chr1,150641659,150642658,snp_rs11204689
chr1,150660377,150661376,snp_rs138548118
chr1,150798612,150799611,snp_rs3768017
chr1,150947245,150948244,snp_rs7535032
chr1,150953761,150954760,snp_rs3754210
chr1,153847708,153848707,snp_rs11590099
chr1,153853570,153854569,snp_rs60150125
chr1,153853880,153854879,snp_rs12043350
chr1,153895712,153896711,snp_rs4845357
chr1,153895870,153896869,snp_rs4845585
chr1,153895925,153896924,snp_rs4845358
chr1,153938600,153939599,snp_rs149627160
chr1,153941014,153942013,snp_rs11264743
chr1,153963495,153964494,snp_rs140257179
chr1,154979851,154980850,snp_rs56103503
chr1,204463681,204464680,snp_rs2926534
chr2,8597944,8598943,snp_rs11686272
chr2,10091452,10092451,snp_rs111645870
chr2,10091519,10092518,snp_rs187290376
chr2,10092433,10093432,snp_rs141313862
chr2,10092503,10093502,snp_rs73913928
chr2,10094026,10095025,snp_rs73913932
chr2,10094520,10095519,snp_rs150405807
chr2,10730339,10731338,snp_rs11674433
chr2,10730827,10731826,snp_rs2024431
chr2,10731689,10732688,snp_rs10929682
chr2,10733020,10734019,snp_rs6432107
chr2,10737634,10738633,snp_rs7605461
chr2,10737676,10738675,snp_rs7593496
chr2,10737928,10738927,snp_rs7608498
chr2,10737949,10738948,snp_rs7582775
chr2,10738063,10739062,snp_rs6750891
chr2,10738184,10739183,snp_rs6733416
chr2,10738431,10739430,snp_rs150706013
chr2,10738472,10739471,snp_rs6751398
chr2,10738628,10739627,snp_rs4453662
chr2,10738710,10739709,snp_rs34731464
chr2,43637498,43638497,snp_rs7591218
chr2,66717414,66718413,snp_rs113832794
chr2,85764460,85765459,snp_rs1446668
chr2,85767235,85768234,snp_rs2028900
chr2,85775990,85776989,snp_rs5832649
chr2,173312953,173313952,snp_rs1574259
chr2,202047623,202048622,snp_rs11674246
chr2,202097031,202098030,snp_rs3834129
chr2,202097075,202098074,snp_rs6747918
chr2,202098756,202099755,snp_rs12620010
chr2,202122495,202123494,snp_rs3769823
chr2,202122979,202123978,snp_rs59308963
chr2,202162311,202163310,snp_rs13016963
chr2,202162983,202163982,snp_rs9288316
chr2,238392038,238393037,snp_rs12612240
chr2,238394929,238395928,snp_rs67071074
chr2,238395289,238396288,snp_rs3049924
chr2,238396241,238397240,snp_rs880931
chr2,238396463,238397462,snp_rs880932
chr2,238396485,238397484,snp_rs72620830
chr2,238397665,238398664,snp_rs6760842
chr2,238397682,238398681,snp_rs6713555
chr2,238398080,238399079,snp_rs6706729
chr2,238398326,238399325,snp_rs80151891
chr2,238398630,238399629,snp_rs77956735
chr2,238434741,238435740,snp_rs7561919
chr3,113276605,113277604,snp_rs7639565
chr3,127957513,127958512,snp_rs4074440
chr3,152103256,152104255,snp_rs73009977
chr4,95546967,95547966,snp_rs7679542
chr4,95548050,95549049,snp_rs10015716
chr5,133859601,133860600,snp_rs329117
chr6,11217343,11218342,snp_rs2018334
chr6,11217397,11218396,snp_rs2018336
chr6,30178922,30179921,snp_rs2844775
chr6,30312768,30313767,snp_rs11967
chr6,34563566,34564565,snp_rs205259
chr6,34563743,34564742,snp_rs205258
chr6,34566475,34567474,snp_rs2814972
chr6,34712899,34713898,snp_rs2814969
chr6,34713000,34713999,snp_rs2814970
chr6,34758324,34759323,snp_rs9469886
chr6,34758440,34759439,snp_rs9469887
chr6,34759381,34760380,snp_rs13215181
chr6,34759454,34760453,snp_rs6457791
chr6,34759728,34760727,snp_rs7769820
chr6,34759825,34760824,snp_rs7752060
chr6,34760083,34761082,snp_rs7752522
chr6,34760236,34761235,snp_rs11757370
chr6,34777031,34778030,snp_rs9296132
chr6,34777291,34778290,snp_rs2038839
chr6,34777986,34778985,snp_rs2395606
chr6,34779301,34780300,snp_rs7739771
chr6,34811189,34812188,snp_rs36111695
chr6,43709180,43710179,snp_rs79693854
chr6,43709203,43710202,snp_rs9472119
chr6,43709285,43710284,snp_rs9472120
chr6,43709515,43710514,snp_rs9472121
chr6,43709620,43710619,snp_rs35380161
chr6,43709848,43710847,snp_rs6920449
chr6,43709881,43710880,snp_rs10807290
chr6,109306781,109307780,snp_rs5879006
chr6,109307210,109308209,snp_rs16822
chr6,109322054,109323053,snp_rs12214121
chr6,109322719,109323718,snp_rs3839562
